AuthorAccipiter,AuthorArchangel,AuthorBennedict,AuthorCashBurnRate,AuthorDatabed,AuthorEasyrider,AuthorFreedom,AuthorGiantOreo,AuthorHuntard,AuthorJWilliam,AuthorKronus,AuthorMatthew,AuthorPeeling,AuthorRoesgen08,AuthorSquatch,AuthorT.Q,AuthorXcaliber,AuthorZosimus,Authorbirdan,Authorchemist99a,Authordace,Authordaewoo,Authorfartingle,Authorgansao,Authorjakers,Authormarc9000,Authorobvious_child,Authorsmiley,Length:100,Length:200,Length:300,Length:50,Turn:11-12,Turn:13-14,Turn:15-16,Turn:17-18,Turn:19-20,Turn:21-22,Turn:23-24,Turn:7-8,Turn:9-10,subtopic
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,darwinism-creationism-3rd-pov-eam
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,observation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,freedom-speach
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,creationists-science-modern-world
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,expelled-expelled
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,evidence-creation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,only-one-god-does-exist-when-comes-politics-western-world
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regarding-assumptions
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aggressive-evolutionists-abandon-logic-intelligent-design-evolution-debate
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,challenge-both-sides
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,literal-flood-scientifically-possible
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,official-challenge-returns
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gene-dead
